Wavelength;S_Cone_Sensitivity;M_Cone_Sensitivity;L_Cone_Sensitivity
380;0.00151673600250853;0.000588736897252108;0.00115894079494103
385;0.00299660842124532;0.00116928735929316;0.00228613172456953
390;0.00609298341051465;0.00238238120784793;0.00460204912616106
395;0.0117695537244064;0.00464281367256949;0.00884262586807861
400;0.0215377333415879;0.00847581082040142;0.0159379056076022
405;0.0358938460407869;0.0142564453863001;0.026304572640244
410;0.0569744308768319;0.0230287971721907;0.0413486419669881
415;0.090516967473732;0.0373062206635013;0.0650176473192218
420;0.131856030017232;0.0567559313489039;0.0949579325307712
425;0.162637240026872;0.0761660186453364;0.119837088857191
430;0.181513944949489;0.0952382166808087;0.139894696490119
435;0.195420443994025;0.118508978506845;0.161020529478042
440;0.2;0.143268678405193;0.180613933239803
445;0.194008159502401;0.166556372932992;0.194250099702885
450;0.182070672219874;0.190832023205048;0.205902324899537
455;0.169984763622018;0.219457917996751;0.220796024937814
460;0.159801185065788;0.258280283669217;0.247212968952139
465;0.152862161276543;0.316461771397031;0.29749608193532
470;0.137793901096227;0.390734046248042;0.375968318803401
475;0.11656549054331;0.473752216331984;0.47967960151219
480;0.0935233372586425;0.56704986935607;0.611408187813636
485;0.072547089817584;0.673784870234686;0.770586241121289
490;0.0552878874244068;0.802086588599939;0.971966396342178
495;0.0422065637677297;0.970848032278837;1.23572334226569
500;0.0327061930348917;1.19012137328345;1.57725259418325
505;0.0254776868694789;1.46656479232272;2.01303464999339
510;0.019107769587249;1.7866161470073;2.53834851465914
515;0.0135073450950702;2.11900145403876;3.11911401706942
520;0.00947479878452398;2.42611428359754;3.70076280388018
525;0.00695616693424259;2.66269396969894;4.21096130234509
530;0.00511764310445433;2.82625442110235;4.63971442377714
535;0.00363144938754151;2.93657606521715;5.00346942642837
540;0.00247947649529947;2.99323803199919;5.30055384244064
545;0.00164691048949679;3;5.53746826587945
550;0.00108650066298487;2.96299729307983;5.72336245704927
555;0.000724636149550209;2.88676382731837;5.86571895029902
560;0.000500956476511822;2.77064736745373;5.96048021019082
565;0.000361459793097754;2.61415452008295;6
570;0.000281708528864346;2.42181661695531;5.98468436400117
575;0.000243792306195044;2.19979015833066;5.91495235025998
580;0.000223501270205822;1.95439010304039;5.7876365467369
585;0.000191126098994061;1.69426466999564;5.60146014650859
590;0.000152763639162258;1.43248886473011;5.3657600835219
595;0.000138277014952755;1.18149327697638;5.08922029471443
600;0.000112041778929691;0.953852571193097;4.76816472381963
605;8.59409194372896E-05;0.750725650147371;4.4111441524294
610;5.30554491724293E-05;0.580512070943071;4.02217766803354
615;3.93622572806206E-05;0.441948083287112;3.61569051851415
620;3.16686824782915E-05;0.330720605734115;3.18076255716892
625;1.93972425170076E-05;0.24227647971236;2.72007732667404
630;1.20862060967386E-05;0.175114155765153;2.27987612362804
635;8.52942973126205E-06;0.125346223757295;1.88934492064944
640;6.32994586218041E-06;0.0887158575123025;1.53872585197482
645;4.45574158594708E-06;0.0619828090815249;1.22433777842987
650;2.99861007377764E-06;0.0433023289369371;0.95426995503707
655;2.0926181879609E-06;0.03039073857581;0.731477969020695
660;1.47295675236227E-06;0.0213959342543129;0.548076587399222
665;1.00813802470221E-06;0.0146423658806116;0.399384540801994
670;6.92883143089311E-07;0.0100674911085984;0.28893573003383
675;4.89215260250067E-07;0.00711117317147568;0.212100284171446
680;3.45310668038548E-07;0.0050185846591799;0.153904475926648
685;2.37235673783715E-07;0.00344684103575003;0.107550206945611
690;1.62498739182348E-07;0.00236206179235182;0.0744031376237065
695;1.13221784526643E-07;0.00164558854182361;0.0523300621321857
700;8.01272053199634E-08;0.00116520208940408;0.0371921470581637
705;5.73442656663403E-08;0.000833702789705563;0.0265559138072305
710;4.12021610806587E-08;0.000598854413648257;0.0189527070748597
715;2.94727048988112E-08;0.000428391904032205;0.0134298527332478
720;2.10639587525847E-08;0.000306154928213501;0.00948224670428881
725;1.51018445533087E-08;0.000219483185477762;0.00669948239765643
730;1.07765561391668E-08;0.000156574579750634;0.00470393433333895
735;7.60291255836595E-09;0.0001104793867063;0.00326273085785794
740;5.33973858081905E-09;7.7607064184262E-05;0.00225108166350761
745;3.75837400536064E-09;5.4617429242639E-05;0.00155532534939502
750;2.66655162212177E-09;3.87553135338901E-05;0.00108228403066139
755;1.91672583076958E-09;2.78491057768746E-05;0.00076255513578887
760;1.38611733739918E-09;2.01317373040324E-05;0.000540208297248352
765;1.00052972484201E-09;1.45365469302949E-05;0.000381804682545647
770;7.21755323240676E-10;1.04838610118066E-05;0.000269594638105132
775;5.20966737691653E-10;7.56486626394722E-06;0.00019041504091
780;3.75880672906767E-10;5.459353982583E-06;0.000134425373050724
785;2.7102540100185E-10;3.93641841411625E-06;9.4820283700034E-05
790;1.95195587356144E-10;2.83466182309588E-06;6.68115043194164E-05
795;1.40391235384357E-10;2.03878417863619E-06;4.70144381479261E-05
800;1.00909021676547E-10;1.4650122451832E-06;3.30644459965834E-05
805;7.25287171012123E-11;1.05312823039292E-06;2.32584757851133E-05
810;5.21314729235147E-11;7.56887363710176E-07;1.63618064297218E-05
815;3.75093895000028E-11;5.4436632902644E-07;1.15244776603018E-05
820;2.69116295346845E-11;3.90698059969688E-07;8.09694613957572E-06
825;1.91460855735751E-11;2.77972129863713E-07;5.64340541285414E-06
